step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
234,0.07327,1.0,,
235,0.03472,1.0,,
236,0.2335,0.85714,,
237,0.02434,1.0,,
238,0.04205,1.0,,
239,0.05502,1.0,,
240,0.01367,1.0,,
241,0.46645,0.92857,,
242,0.01345,1.0,,
243,0.1038,0.95,,
244,0.19247,0.90909,,
245,0.00406,1.0,,
246,0.04916,1.0,,
247,0.01974,1.0,,
248,0.16946,0.92308,,
249,0.21965,0.90909,,
250,0.0707,0.93333,,
251,0.00303,1.0,,
252,0.09568,1.0,,
253,0.18199,0.90476,,
254,0.00295,1.0,,
255,0.04348,1.0,,
256,0.26225,0.94444,,
257,0.01775,1.0,,
258,0.00642,1.0,,
259,0.0313,1.0,,
260,0.12189,0.875,,
261,0.13715,0.9375,,
262,0.03032,1.0,,
263,0.11735,0.92308,,
264,0.00279,1.0,,
265,0.01064,1.0,,
266,0.40589,0.85714,,
267,0.08972,0.91667,,
268,0.05489,1.0,,
269,0.01437,1.0,,
270,0.00161,1.0,,
271,0.0028,1.0,,
272,0.01425,1.0,,
273,0.10926,0.90909,,
274,0.15237,0.90909,,
275,0.00703,1.0,,
276,0.00046,1.0,,
277,0.19396,0.92857,,
278,0.02029,1.0,,
279,0.00704,1.0,,
280,0.01613,1.0,,
281,0.04741,1.0,,
282,0.10972,1.0,,
283,0.0544,1.0,,
284,0.28926,0.9,,
285,0.10032,0.91667,,
286,0.08728,0.9375,,
287,0.02433,1.0,,
288,0.00504,1.0,,
289,0.29295,0.9,,
290,0.01891,1.0,,
291,0.01477,1.0,,
292,0.038,1.0,,
293,0.1112,0.93333,,
294,0.09911,0.94118,,
295,0.03542,1.0,,
296,0.00134,1.0,,
297,0.07122,1.0,,
298,0.02819,1.0,,
299,0.06946,1.0,,
300,0.11027,0.90909,,
