step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
230,0.04461,0.97222,0.1135,0.96552
231,0.00011,1.0,,
232,4e-05,1.0,,
233,8e-05,1.0,,
234,4e-05,1.0,,
235,7e-05,1.0,,
236,9e-05,1.0,,
237,7e-05,1.0,,
238,0.00025,1.0,,
239,3e-05,1.0,,
240,4e-05,1.0,6e-05,1.0
